,ts,target
1474,"[-1.28814915e-22  8.03994981e-23  7.39183667e-23 ...  1.98512403e-22
 -2.67150310e-22  4.54516573e-22]",1
1475,"[ 4.25733439e-23 -1.00886852e-22 -1.05129077e-22 ... -1.18680554e-22
  2.80121973e-22 -2.28907127e-22]",0
1476,"[ 2.24589637e-22  1.37272513e-22 -3.99929219e-22 ... -1.80742172e-22
  7.26382402e-23 -3.39110317e-22]",0
1477,"[ 9.73275577e-23 -1.30832995e-22  8.27542206e-23 ... -2.12833686e-22
 -7.47695473e-24 -5.84774890e-23]",1
1478,"[ 1.63211080e-22  2.62753024e-23 -1.59150315e-22 ... -7.74798505e-23
  2.46286967e-22 -2.45911825e-22]",1
1479,"[ 1.25967798e-22  8.89702901e-23  5.20678378e-23 ... -9.08981785e-23
 -1.86485165e-22  3.55070832e-22]",1
1480,"[-4.31121040e-23  1.70602007e-23 -1.30266608e-24 ...  2.88106780e-23
 -1.88188112e-23 -8.34563015e-23]",1
1481,"[-3.00920550e-23  2.59586350e-23  9.00835382e-23 ... -2.55571709e-22
  2.38741718e-22  1.67028825e-22]",1
1482,"[-1.12200160e-22  1.22134271e-22 -1.57775585e-22 ... -1.25852385e-22
  9.76956079e-23 -2.02885962e-22]",0
1483,"[-1.82328550e-22 -2.41557948e-22  1.47985095e-23 ... -4.84345621e-22
  3.47951234e-22 -1.40293009e-22]",0
1484,"[-6.87604892e-23  1.68150836e-22 -2.59529903e-22 ... -2.08754942e-22
  2.78988850e-22 -1.53533349e-23]",1
1485,"[ 3.81242904e-22 -4.03794965e-22  3.93930844e-22 ...  5.79731112e-22
  2.59766254e-23  8.08490789e-24]",1
1486,"[ 8.08007608e-23  5.55876064e-23 -4.36937009e-26 ...  1.29084722e-22
 -3.00337723e-23 -7.02233041e-23]",1
1487,"[ 2.85491177e-22 -2.40775140e-22 -1.37593485e-22 ...  3.24689149e-22
 -3.15391667e-22 -1.18550637e-22]",1
1488,"[-9.66551474e-23  1.97545888e-22  2.30407127e-22 ... -2.54239000e-22
 -2.26404448e-22 -2.17391493e-22]",1
1489,"[-3.39270111e-22  1.35400726e-22 -2.01128775e-23 ... -1.00429804e-22
  2.09438976e-22 -1.64228987e-23]",0
1490,"[-2.66818551e-23 -1.52249875e-22  6.80111513e-23 ... -7.80844301e-23
  1.67566513e-22  4.95969731e-23]",0
1491,"[ 5.14332595e-23  4.63464898e-23 -1.84764246e-23 ... -1.76234275e-22
 -4.53305952e-23  7.26130860e-23]",1
1492,"[ 2.47324504e-23  5.75459681e-23 -1.18261553e-22 ... -3.29649929e-22
  1.50153406e-22  1.60138566e-22]",1
1493,"[-2.68976662e-22  1.47852627e-22 -8.33054169e-23 ... -1.50042720e-22
  3.68352724e-22 -1.11560447e-22]",1
1494,"[-7.67147913e-23 -1.21552031e-22  1.71619907e-22 ...  6.38117834e-24
 -7.65260944e-23 -1.23969418e-22]",1
1495,"[ 1.58236349e-22 -9.03236266e-23  3.23646636e-22 ...  3.58519342e-23
 -1.78331495e-22  1.67955587e-22]",1
1496,"[ 1.32226137e-22 -1.47896163e-22  9.31902929e-23 ... -9.03335375e-23
  3.50817786e-23 -1.55305050e-22]",0
1497,"[ 1.93027497e-22  1.47167990e-22 -3.24066687e-22 ...  4.54157487e-23
 -1.87286595e-22  7.66398087e-23]",0
1498,"[ 2.44675376e-22 -1.79949444e-22 -8.33502106e-23 ... -1.12273929e-23
 -1.00543128e-23 -2.31314182e-22]",1
1499,"[ 7.91985022e-23  9.31956564e-23 -1.15511280e-22 ... -2.24068709e-22
  1.27150185e-22 -9.48925769e-23]",1
1500,"[ 4.25442700e-22 -1.40704646e-22  4.79968477e-22 ... -1.36692557e-22
  2.60455843e-23  3.87463654e-23]",1
1501,"[-3.27665077e-23 -6.75597489e-23  7.78959761e-23 ...  2.79959680e-22
 -1.08594963e-22  1.83472976e-22]",1
1502,"[-8.78511895e-23 -6.84946948e-23  5.85609413e-23 ... -1.07799971e-22
  8.10023165e-23 -4.24483220e-23]",1
1503,"[ 1.71239965e-22 -3.39187290e-23 -7.95017475e-23 ... -6.47620108e-23
 -9.24347767e-23 -3.51601292e-23]",0
1504,"[-2.84240525e-22  3.70296044e-23 -5.37979993e-23 ... -3.17025785e-23
 -7.05276117e-23  7.81359847e-23]",0
1505,"[ 1.48328507e-22 -1.29612949e-22  7.17496666e-23 ...  1.59838294e-22
 -9.76142578e-23 -2.26610206e-22]",1
1506,"[-1.74719549e-22  1.88385541e-22  4.59161340e-23 ...  2.92624912e-22
  2.20752354e-22  1.16817421e-22]",1
1507,"[-7.97353762e-24  1.62068687e-22 -1.35403491e-22 ...  2.11943037e-22
 -1.44603547e-22 -2.82470991e-23]",1
1508,"[ 5.30158030e-24 -3.21517253e-22 -4.12401302e-23 ... -2.51351195e-23
  2.42114748e-22  3.38049978e-22]",1
1509,"[-2.80690771e-22 -5.91907762e-23  4.28394116e-23 ...  1.86477608e-22
 -1.00028618e-22 -1.44399592e-22]",1
1510,"[ 5.89509218e-23 -7.09959727e-23 -5.08197557e-23 ... -7.53556781e-23
 -6.59036445e-23  3.71871689e-23]",0
1511,"[ 1.53381280e-22  1.57250367e-23  6.33726298e-23 ...  9.95339795e-23
 -3.43594885e-23 -6.07463260e-23]",0
1512,"[ 3.32220229e-23  8.02234708e-23 -1.00545071e-22 ... -8.19861195e-23
  7.35623246e-23  8.45616184e-23]",1
1513,"[ 4.59685819e-24  1.35184705e-23 -1.25516215e-22 ...  4.80381879e-23
 -5.23560857e-26  2.01051496e-22]",1
1514,"[-8.12393718e-23  9.90556850e-23 -8.10688323e-23 ... -3.29636342e-23
  2.00079804e-22 -2.16598387e-22]",1
1515,"[-2.82576557e-22  3.95993550e-23  3.26488934e-22 ...  3.04241422e-22
  3.05035338e-22 -2.31156967e-22]",1
1516,"[ 3.91477849e-23 -1.19561517e-23  6.95965617e-24 ... -7.93031647e-23
  1.52885159e-23  1.85978800e-22]",1
1517,"[ 4.05753560e-23  3.48103190e-23  4.99788112e-23 ... -9.43866889e-23
  7.70851536e-23 -9.01615064e-23]",0
1518,"[-1.14900456e-22  3.25779197e-23 -1.01058903e-22 ... -3.99644623e-23
  3.95749584e-23 -4.34777628e-23]",0
1519,"[-6.05424467e-23 -7.40446272e-23  2.20670072e-22 ... -5.87263028e-23
 -2.80350847e-22  1.71601197e-22]",1
1520,"[-9.62096292e-23 -1.51538331e-22  1.71612399e-22 ... -1.12031124e-22
 -1.04313660e-22  1.14271369e-22]",1
1521,"[-1.64453012e-22  3.46975671e-22 -1.56170830e-22 ...  2.85533221e-22
 -2.48798771e-22  3.41476518e-22]",1
1522,"[ 7.87691788e-23 -8.64012361e-23 -3.47099977e-22 ... -2.38184793e-22
  1.46272284e-22 -7.52851947e-23]",1
1523,"[ 1.99410920e-23  2.16190596e-22  1.27104356e-22 ...  1.92815406e-22
  6.13381534e-23 -3.92220497e-22]",1
1524,"[ 4.26536342e-22 -6.87124792e-23  1.56492328e-23 ... -1.81599011e-22
  4.00255534e-23 -1.10916693e-22]",0
1525,"[-8.41836205e-23  4.15152500e-23  3.19459241e-22 ... -1.45175887e-22
  1.05004703e-22  2.86959069e-23]",0
1526,"[-1.17175086e-22 -1.38059964e-22  9.18897237e-23 ...  6.27396332e-23
 -1.77696867e-23 -1.83854009e-23]",1
1527,"[-3.53495660e-22 -1.30531118e-22  7.16594632e-23 ...  6.64894178e-23
  1.07599242e-22 -2.34043400e-22]",1
1528,"[-1.98614247e-22  7.38658605e-23  1.74364462e-22 ...  2.61953574e-22
  1.94749877e-22  1.45412832e-22]",1
1529,"[ 1.21517001e-22  1.70593328e-23  2.35177825e-23 ... -1.24299371e-22
 -7.02395407e-23  1.62785545e-22]",1
1530,"[ 1.57628351e-22 -8.96241001e-23 -7.40972926e-23 ...  2.12746501e-22
 -1.20075370e-23  9.53807414e-23]",1
1531,"[ 2.67023560e-22 -1.33769892e-22  4.24133256e-24 ...  5.62537866e-23
 -2.39719804e-22  4.52580233e-23]",0
1532,"[-2.80728198e-22 -3.09945448e-23  2.68064654e-22 ...  2.38466982e-22
  1.19928890e-22 -1.37581160e-22]",0
1533,"[ 1.03045821e-22  1.29352201e-22 -1.51959881e-23 ...  6.53942379e-23
 -2.05558550e-22  1.37011963e-22]",1
1534,"[ 5.55181745e-23 -4.06949010e-23 -2.86714462e-23 ... -1.30904353e-22
  5.19972772e-23 -8.31214462e-23]",1
1535,"[-1.22532699e-22 -2.07740611e-23  8.16377746e-23 ...  2.17193541e-22
 -2.36536620e-22 -1.49844064e-22]",1
1536,"[-1.66767225e-22  3.22635371e-22 -1.18909527e-22 ... -9.63110400e-23
 -7.13088781e-23 -1.33418196e-23]",1
1537,"[-2.43752379e-23 -6.65689730e-23 -1.35551079e-22 ... -2.04776809e-22
 -5.81368736e-24 -2.83474788e-22]",1
1538,"[ 1.17630289e-22  1.92024856e-22 -9.66064473e-23 ... -8.97469168e-23
 -2.02349037e-23 -1.02833394e-22]",0
1539,"[-7.68092136e-24  1.09936563e-22 -2.51191844e-25 ...  3.08499425e-23
 -1.78048538e-23 -1.15202612e-22]",0
1540,"[ 1.09455914e-22  4.15010900e-23  2.94135459e-23 ... -8.52058236e-23
 -1.05376383e-22  1.29707212e-22]",1
1541,"[-1.03171028e-22  2.37283619e-22  3.76651304e-23 ... -1.01614568e-22
  6.57847290e-24  2.59541879e-23]",1
1542,"[-2.98542615e-23  6.76395289e-23 -7.15386124e-23 ... -7.19415346e-25
  4.09651944e-23  1.60749250e-22]",1
1543,"[-2.64027753e-22  5.34748246e-24 -2.64181714e-23 ... -3.43956197e-22
  1.39307356e-22 -1.14605862e-22]",1
1544,"[ 2.62107532e-22  5.03890061e-23 -1.17429553e-22 ... -2.84981447e-23
  1.50130511e-23 -3.90276907e-23]",1
1545,"[ 1.56961344e-23 -7.91449066e-23  2.01070179e-22 ... -5.82101495e-23
  1.61585517e-23 -2.96483389e-22]",0
1546,"[ 1.43099076e-22  5.04828302e-23 -9.66019060e-23 ...  3.24282128e-23
  1.34905987e-22 -1.34851028e-22]",0
1547,"[-7.41448233e-23  1.60188519e-22  1.15539978e-24 ...  1.86708702e-22
 -4.06378407e-22  2.78627963e-22]",1
1548,"[-6.92904282e-23  6.97381910e-23 -3.28947747e-22 ... -3.74680919e-22
  1.04079140e-22 -5.84982904e-23]",1
1549,"[ 2.67129865e-22 -3.38275441e-23 -1.84425910e-22 ...  2.99118730e-23
 -1.10622864e-22 -4.51932567e-23]",1
1550,"[-1.36817577e-22  5.41380532e-22 -5.49903296e-23 ...  2.35446949e-22
 -5.47953025e-23 -1.10434564e-22]",1
1551,"[ 4.39862859e-22  1.98262952e-22 -2.62146644e-22 ... -1.55664041e-22
 -2.04546666e-23 -1.68736499e-22]",1
1552,"[-5.54188942e-23  5.69481189e-23  1.13584557e-23 ... -9.74980859e-24
  3.62156911e-24 -3.28061820e-23]",0
1553,"[ 4.01080187e-23  1.25091448e-22  1.98817768e-22 ... -3.84386861e-23
  4.52306185e-22 -1.72317296e-24]",0
1554,"[ 8.69250211e-23 -2.79470626e-22 -5.20759966e-23 ...  1.16006236e-22
 -1.02899656e-22  4.11221848e-22]",1
1555,"[ 1.11976893e-22  2.20277671e-24 -4.40147262e-23 ...  6.44528084e-23
  2.13769491e-23 -4.69894049e-23]",1
1556,"[-2.94057481e-22  1.25536619e-22 -1.73010285e-23 ... -3.62179683e-23
  1.77388668e-22 -9.73866310e-23]",1
1557,"[ 2.41580111e-22  2.49840890e-23 -2.60048242e-23 ... -3.16161221e-22
  1.70223813e-22 -4.38448800e-23]",1
1558,"[ 1.63491674e-22 -7.89124755e-23  2.78182966e-23 ...  3.47461131e-23
 -2.47104663e-22  2.58231999e-23]",1
1559,"[-2.83416789e-22 -2.49411244e-22  2.21903256e-22 ...  3.88688083e-22
  2.01518594e-23 -5.42966111e-25]",0
1560,"[ 2.04299426e-23 -2.19991228e-22  1.61273072e-22 ...  2.41826227e-22
  1.77932917e-22 -2.04100548e-22]",0
1561,"[ 1.42723996e-22 -3.08072340e-22 -3.54999161e-22 ...  2.74758968e-22
 -5.68059993e-23 -1.35408896e-22]",1
1562,"[ 1.09504649e-22 -1.60604577e-22 -2.11237853e-22 ...  3.08212197e-23
  2.39923585e-22 -1.04195249e-22]",1
1563,"[-1.35052647e-22  1.80511247e-22 -8.85547190e-23 ...  1.75016707e-22
 -4.57416630e-23  1.97350155e-22]",1
1564,"[ 7.55558348e-24 -4.62764122e-23  2.05814706e-22 ... -1.47070210e-22
 -7.48100153e-23  1.07353310e-22]",1
1565,"[ 1.30237142e-22 -2.02247728e-22  3.59193518e-22 ...  1.81123199e-22
 -1.37410846e-22  2.40685482e-23]",1
1566,"[ 6.08726121e-23  1.66576772e-22 -4.17999740e-22 ...  1.35184490e-22
  5.85900173e-23 -9.87729025e-23]",0
1567,"[ 9.51242933e-23  1.85174177e-23 -7.30470464e-24 ... -7.47783242e-25
  4.97556064e-22 -1.57546547e-22]",0
1568,"[-2.81144034e-22  1.28893213e-22 -1.03725847e-22 ... -5.00416909e-23
 -9.30779252e-23 -1.65327044e-22]",1
1569,"[ 1.78148519e-22 -9.07458737e-23  2.33939853e-22 ... -3.06792774e-23
  1.86215948e-23 -1.24397473e-22]",1
1570,"[ 2.91806872e-22  1.69108865e-22 -3.48192815e-23 ... -2.53751148e-22
 -1.75921996e-22  6.48987243e-23]",1
1571,"[ 2.10591749e-22 -5.49917689e-23  2.22898476e-22 ...  6.10458299e-23
 -1.40773195e-22  1.37959326e-22]",1
1572,"[-6.14343635e-23 -4.82212987e-23 -1.26523493e-22 ...  1.16950988e-22
 -2.22062874e-22  2.59227130e-22]",1
1573,"[ 3.08789982e-22 -6.93911288e-23 -7.40317275e-23 ... -1.69419805e-22
 -2.09361390e-22  1.80290751e-23]",0
1574,"[ 3.04316907e-22 -3.56346295e-22  3.82022200e-22 ...  1.22764029e-22
  5.57591760e-23  1.40218670e-23]",0
1575,"[ 5.04480389e-23 -1.05843325e-22  7.98118775e-23 ...  3.95528619e-23
  3.61372748e-23  1.19993851e-22]",1
1576,"[-1.52888433e-22  1.30168525e-22 -1.22366418e-22 ...  1.44631581e-22
 -1.37022429e-23 -5.33962048e-23]",1
1577,"[ 1.28064757e-22  1.13928896e-22  6.17273216e-23 ... -2.73134033e-23
  2.33490691e-22 -3.90892497e-23]",1
1578,"[-1.46077781e-22 -1.17543594e-22 -2.29398418e-22 ... -2.45608204e-22
  2.72022073e-22 -6.10518078e-23]",1
1579,"[-1.30162838e-22 -3.21756646e-22  1.77519864e-22 ...  3.82193905e-23
 -2.17977492e-22  9.00577853e-23]",1
1580,"[-2.51881012e-22 -4.04343314e-22 -2.89773708e-22 ... -1.23863668e-22
  3.76516342e-23 -4.10552120e-23]",0
1581,"[-8.95712958e-23 -2.87724572e-22  1.92765633e-22 ...  1.04176392e-22
  7.60300917e-23  7.88495979e-23]",0
1582,"[-1.34949834e-23 -6.73992315e-23  3.37564965e-23 ...  6.02558987e-23
 -4.06151846e-23  1.03544283e-22]",1
1583,"[-1.69254858e-22  6.70202793e-23  3.41735186e-23 ...  1.43595530e-22
  3.49709230e-23 -8.88153278e-23]",1
1584,"[-5.25527068e-23  2.99095945e-22  1.03456589e-22 ...  1.08627761e-22
 -3.38357247e-22  2.77122148e-22]",1
1585,"[ 1.11023676e-22 -4.67906781e-23 -3.62764495e-22 ... -1.04225601e-22
 -4.40498615e-23  4.62439694e-24]",1
1586,"[ 1.73926084e-22 -8.88886351e-23  3.10329064e-23 ... -1.01171764e-22
  3.55968409e-23 -2.95927196e-23]",1
1587,"[ 2.37117706e-22  3.67947787e-23  1.46338637e-22 ... -2.90544978e-22
 -4.49047412e-23  1.37932983e-22]",0
1588,"[ 2.61704503e-22 -1.38830526e-22  1.31113117e-22 ... -6.25868089e-23
  6.97707510e-24 -6.55757175e-23]",0
1589,"[ 1.17610494e-22  1.26018366e-23 -1.14547635e-22 ...  1.63930355e-23
  6.79428858e-23 -4.95495272e-23]",1
1590,"[ 1.08553106e-22 -2.97091891e-23 -1.81648740e-22 ...  9.51777940e-23
 -2.07698504e-22  1.32658988e-22]",1
1591,"[-2.95717380e-22  2.82895279e-22 -1.01544588e-24 ... -1.78715374e-22
  3.36112043e-23  5.64364118e-23]",1
1592,"[-6.03243337e-23  2.25508776e-23 -1.92053078e-23 ... -6.93406548e-23
  1.23419503e-22 -1.70855059e-22]",1
1593,"[ 1.44269165e-23  7.05910989e-23  1.50351319e-22 ...  1.04957418e-22
  4.16813076e-23 -4.23606158e-23]",1
1594,"[-3.64074788e-23  3.71201388e-23 -2.04336163e-23 ...  1.40807531e-22
 -1.02833541e-22  4.59337165e-23]",0
1595,"[-6.61829849e-23 -1.34806029e-22  9.15975897e-23 ... -5.60293831e-23
  9.56677828e-23 -9.47898025e-23]",0
1596,"[ 7.77626322e-23 -7.87499889e-23  2.90259054e-22 ...  5.68758138e-23
 -5.79584933e-23  1.45747014e-23]",1
1597,"[ 1.40022702e-22  2.24811042e-23 -1.28330404e-22 ...  9.40132070e-23
 -7.90839277e-23  1.37641148e-22]",1
1598,"[ 1.21414030e-22  1.76629249e-23 -5.82684571e-23 ...  1.41297302e-22
 -2.36519103e-22  2.20410247e-22]",1
1599,"[ 2.65712392e-22 -5.92881210e-24  3.77159327e-22 ... -1.01300379e-22
  1.23218600e-23 -9.81675818e-23]",1
1600,"[-2.83023274e-22  1.09399479e-22 -1.67939598e-22 ... -3.87770612e-22
  2.21471943e-22 -1.25008166e-22]",1
1601,"[ 1.97982192e-22  2.92166762e-23 -1.34946386e-22 ...  7.33116778e-23
  1.24198328e-22  3.11076830e-23]",0
1602,"[-1.95648859e-22 -2.97583399e-22  2.09834608e-22 ...  2.74402765e-22
  2.40660349e-23 -1.40851707e-22]",0
1603,"[-3.04536404e-23  1.30028908e-23  1.27860908e-22 ... -1.30300459e-22
  3.19606183e-23 -5.87670315e-23]",1
1604,"[-6.48276667e-24  2.56301236e-22 -1.20540303e-22 ...  1.16529785e-22
  3.95765938e-22 -2.52237982e-22]",1
1605,"[-1.64972531e-22 -2.56035395e-23  1.32262369e-22 ... -8.62228154e-23
 -3.69046886e-23 -4.64126696e-23]",1
1606,"[ 1.27120760e-22 -1.01006987e-22  8.87527155e-23 ...  2.77397021e-22
 -2.86915506e-22 -1.64621083e-22]",1
1607,"[-6.33347373e-23 -6.13335121e-26 -1.23648886e-22 ...  1.02500146e-22
 -2.39161721e-22  5.75082155e-23]",1
1608,"[-3.62939589e-23 -6.70264285e-23  6.27622381e-23 ...  4.31325530e-23
 -1.26960438e-22  8.11705167e-23]",0
1609,"[-9.73082043e-23 -1.72462058e-22  7.81511297e-23 ... -2.77312181e-23
 -2.36402349e-22  3.50192452e-22]",0
1610,"[ 3.34612035e-22 -2.66170908e-22 -3.94024420e-22 ... -5.26509764e-24
  9.85696046e-23  2.17381499e-23]",1
1611,"[ 1.06303773e-23  1.45997859e-22 -4.41435513e-23 ...  1.29989799e-22
  1.18078276e-22 -3.55217400e-23]",1
1612,"[-1.50411817e-22 -1.34556908e-22 -6.79629167e-23 ... -1.19302122e-22
 -4.51566838e-23 -1.67072406e-22]",1
1613,"[-2.60351943e-22  5.63893676e-23 -7.90805835e-23 ... -7.89981514e-23
  4.91225639e-23 -7.83141695e-24]",1
1614,"[-2.63182489e-22  4.19274882e-22 -4.15344560e-22 ... -1.22031910e-22
 -2.01965935e-22 -2.66744498e-23]",1
1615,"[ 3.26165170e-22 -4.39998915e-22  1.01647248e-22 ... -1.00155636e-23
 -1.15690137e-22  1.54503665e-22]",0
1616,"[-8.62276201e-23  7.18147367e-23  2.34817715e-22 ...  3.19944301e-22
 -4.99241733e-22  1.59669219e-22]",0
1617,"[ 1.98468828e-22 -2.87855918e-22  1.97062741e-22 ...  2.44291771e-22
 -3.46503469e-22  3.98018255e-23]",1
1618,"[ 4.66395717e-23  3.57896010e-23 -8.53793219e-23 ...  5.62417879e-23
 -1.43365750e-22  2.42953118e-22]",1
1619,"[-1.46778681e-22 -5.42424259e-22  3.92395560e-23 ... -3.65622887e-22
  4.81294427e-22 -3.93348187e-22]",1
1620,"[ 1.41281631e-22 -5.35687867e-23 -2.50635210e-23 ... -2.37515421e-23
  4.00783301e-23 -6.77918608e-24]",1
1621,"[-1.87844728e-22  3.21843270e-23 -1.07364857e-22 ... -4.30325668e-22
 -5.84238667e-23  6.83680472e-23]",1
1622,"[-2.47962525e-22  7.03503862e-23 -2.40432743e-22 ... -3.15552825e-22
  1.17385490e-23  2.03753729e-22]",0
1623,"[-1.34997278e-22  1.66317019e-22  1.88811260e-22 ... -6.35136370e-24
 -3.40426274e-22  1.75310278e-22]",0
1624,"[-1.36997498e-22  9.58438137e-23  1.26099983e-22 ... -2.05012042e-22
  4.38255486e-22 -5.61193076e-23]",1
1625,"[ 1.35281894e-22  2.14929795e-23 -2.38088062e-24 ...  1.95783606e-22
 -1.09606354e-22  5.86427815e-23]",1
1626,"[-9.18731500e-23  7.11553197e-23 -1.10841435e-23 ... -1.22631184e-23
 -5.13230307e-24 -6.99987395e-23]",1
1627,"[ 1.44516255e-23 -2.44434437e-25 -5.76744991e-23 ...  3.54920441e-23
 -3.86662339e-23  7.10195768e-23]",1
1628,"[-6.79497760e-23  4.77304697e-23  2.73973621e-23 ...  1.91989705e-23
 -5.37294447e-23  1.54431992e-22]",1
1629,"[-2.77361687e-23 -3.66564507e-24 -2.03880509e-23 ...  1.15141279e-22
 -4.63560288e-23  2.46219386e-23]",0
1630,"[ 7.86175116e-23 -6.80189100e-23  4.53609315e-23 ...  1.61928434e-25
 -2.02937506e-23 -2.21574554e-22]",0
1631,"[-1.05558745e-22  7.26629607e-23  1.49705453e-22 ... -2.64206885e-23
  3.92952663e-22  4.02615910e-22]",1
1632,"[ 3.92884998e-22  5.39697023e-23 -1.78994102e-22 ...  3.01698502e-22
 -3.45061569e-22 -1.89429810e-22]",1
1633,"[ 1.13490257e-22 -2.63931918e-23  1.45602455e-23 ... -8.64443466e-23
 -1.83741361e-23 -1.86259000e-23]",1
1634,"[-1.60925163e-22  3.98619477e-22 -3.06495168e-22 ...  2.68431476e-22
 -6.85441584e-22  4.69218301e-23]",1
1635,"[ 6.83734021e-23 -5.45131366e-23 -3.73848100e-22 ... -1.90655685e-22
  2.56951840e-22 -2.12434697e-22]",1
1636,"[ 1.02978222e-22 -1.81343857e-22  1.98035901e-22 ... -3.23723958e-22
  3.95288182e-22 -1.58681929e-22]",0
1637,"[ 2.95459595e-22 -9.35193356e-23  1.12444577e-22 ...  4.55596114e-23
 -1.14319424e-22 -7.67667029e-23]",0
1638,"[-1.77954144e-22  3.55162006e-23 -9.85056432e-23 ... -6.67234219e-23
 -6.84146135e-23  4.50275103e-23]",1
1639,"[-6.52629570e-23  6.83732888e-23 -1.41750972e-22 ... -1.43762956e-22
 -1.86257301e-22  1.14080475e-22]",1
1640,"[-4.34521605e-23 -7.73252649e-23 -2.91533168e-22 ...  4.24405851e-23
  4.64752117e-22 -3.09333968e-22]",1
1641,"[ 1.28837191e-23 -6.46941015e-23  1.85668375e-22 ... -8.03504937e-23
  3.64016133e-22 -8.91049502e-23]",1
1642,"[ 1.67466561e-22 -6.55225440e-24 -1.36387201e-22 ... -2.06590439e-22
  1.11495103e-22 -1.16433086e-22]",1
1643,"[-8.24370301e-23  1.14707609e-22  2.69407748e-24 ... -1.08665029e-23
  4.56392569e-23 -8.62764065e-23]",0
1644,"[-6.63004248e-23  2.27900641e-23 -3.69368792e-23 ... -2.25835994e-22
  1.89605515e-22 -6.99008521e-23]",0
1645,"[ 5.41251875e-23 -6.00698470e-23  6.71883815e-23 ... -7.26570289e-23
  2.34551705e-25  5.29576963e-23]",1
1646,"[ 3.20682929e-23 -6.86758708e-23 -1.20687917e-22 ...  8.40528174e-23
 -1.16285926e-22 -3.31443703e-23]",1
1647,"[ 3.32050899e-23 -2.96797859e-23 -2.30967156e-22 ... -1.34289981e-22
  4.23503198e-22 -2.47332422e-22]",1
1648,"[ 5.86892786e-23  7.56489383e-23 -7.40956503e-23 ...  1.42365633e-22
 -2.07669775e-22 -8.33659018e-23]",1
1649,"[-1.99542708e-22  3.72502195e-22  1.31898405e-22 ... -6.46317394e-23
  1.19709805e-22  1.63731074e-22]",1
1650,"[-4.56937956e-22  2.73159577e-22 -2.35891579e-23 ... -2.53228980e-22
  4.12099993e-22  1.83040138e-22]",0
1651,"[-3.90332924e-22 -3.44306532e-23  4.56076321e-22 ...  9.78600581e-23
 -1.68205292e-22 -3.00173205e-23]",0
1652,"[-9.43279764e-23 -2.74090600e-22 -3.91159559e-23 ...  4.92360894e-23
  5.71622737e-23  9.38254214e-24]",1
1653,"[ 1.05129742e-22  5.22586871e-23  3.91940642e-23 ... -1.66530166e-23
  2.21416807e-23 -2.14414170e-22]",1
1654,"[-3.23173391e-22  2.62515377e-22 -1.87080245e-22 ...  3.99227699e-23
  1.26841050e-22 -2.14670322e-22]",1
1655,"[-7.65364039e-23 -1.23637168e-24  7.21624582e-23 ...  2.24080870e-23
  2.61626512e-23 -1.84786478e-22]",1
1656,"[-1.73989895e-22  1.46644412e-23 -5.60334677e-23 ... -4.26019307e-23
  3.71890283e-25  1.34002753e-22]",1
1657,"[-1.16302960e-22  7.17161932e-23 -7.54446447e-23 ...  6.64957415e-23
 -1.58502884e-22 -8.32870322e-23]",0
1658,"[-3.37676094e-24  6.91070785e-23 -5.28181915e-23 ... -4.20378232e-23
  7.97118102e-23 -1.85395534e-22]",0
1659,"[ 3.32455946e-22  2.85454353e-22  3.33472372e-22 ...  1.46768637e-22
 -1.78983584e-22  2.15880507e-22]",1
1660,"[-6.33225821e-23  1.27226135e-22 -3.06729719e-22 ...  7.36692115e-23
 -1.41090177e-22 -2.21985301e-22]",1
1661,"[ 3.83879619e-22 -1.58574658e-22  8.73594602e-23 ... -3.68796945e-23
  1.08784343e-22 -3.02884307e-22]",1
1662,"[-8.76637836e-23 -6.96598339e-23  7.09587708e-23 ...  2.28546141e-22
  2.05678112e-22 -6.58835795e-23]",1
1663,"[ 2.11257794e-22  9.81081692e-23 -1.94759324e-22 ... -2.19734885e-23
 -7.53201173e-23 -2.75929066e-22]",1
1664,"[-2.76576713e-22  4.16897627e-22 -1.22530537e-22 ... -1.43525761e-22
 -1.31571433e-22  5.11267652e-23]",0
1665,"[ 7.53986454e-23 -1.94366163e-23 -1.44969247e-22 ... -3.39196265e-22
 -2.07558293e-22 -4.11074388e-23]",0
1666,"[ 3.12395782e-23 -5.61960143e-23  3.62989975e-23 ... -6.84907727e-23
 -2.28143075e-23 -8.39213940e-23]",1
1667,"[-3.56454109e-22 -5.27799513e-23  3.32033989e-23 ... -3.37896917e-23
  1.26033216e-23 -1.04700184e-22]",1
1668,"[ 1.58911373e-22 -5.89014713e-23 -6.73363258e-23 ... -5.27266536e-23
 -1.75423906e-22  1.95741527e-22]",1
1669,"[ 1.14609124e-22 -2.66198335e-23  7.77744583e-23 ...  6.64503615e-23
 -1.08444856e-22  5.19140417e-23]",1
1670,"[-2.77532068e-23  3.24488740e-22 -3.87291320e-22 ... -8.54951568e-24
  7.62895505e-23 -9.42562010e-23]",1
1671,"[ 2.40259078e-22  1.67157879e-23 -2.08268270e-22 ...  4.44258070e-23
 -7.52145276e-23  2.57065330e-22]",0
1672,"[-1.23309007e-22 -1.01581928e-22  1.01258676e-22 ...  3.13181598e-23
  3.71317881e-22 -2.45975834e-22]",0
1673,"[-5.11793825e-23 -2.25546086e-22  4.47558254e-22 ...  1.75745477e-22
 -6.40805491e-23 -6.56747588e-23]",1
1674,"[ 1.02613488e-22 -2.84970889e-22  7.24839080e-23 ...  5.06290103e-22
 -1.04397093e-22 -2.16065149e-22]",1
